prompt_idx,template,clean_sentence,corrupted_sentence,clean_IO,clean_S,corrupted_IO,corrupted_S,clean_io_token_id,clean_s_token_id,corrupted_io_token_id,corrupted_s_token_id,end_position,place,object
66,ABBA,"When Kimberly and Jennifer got a basketball at the school, Jennifer decided to give it to Kimberly","When Jennifer and Kimberly got a basketball at the school, Kimberly decided to give it to Jennifer",Kimberly,Jennifer,Jennifer,Kimberly,102292,30904,30904,102292,17,school,basketball
67,BABA,"Then, Richard and Joseph had a long argument, and afterwards Richard said to Joseph","Then, Joseph and Richard had a long argument, and afterwards Joseph said to Richard",Joseph,Richard,Richard,Joseph,10954,9135,9135,10954,15,house,bone
68,BABA,"When Stephanie and William got a bone at the store, Stephanie decided to give it to William","When William and Stephanie got a bone at the store, William decided to give it to Stephanie",William,Stephanie,Stephanie,William,7130,55361,55361,7130,17,store,bone
69,BABA,"Then, Jeremy and Amber went to the school. Jeremy gave a computer to Amber","Then, Amber and Jeremy went to the school. Amber gave a computer to Jeremy",Amber,Jeremy,Jeremy,Amber,47235,42219,42219,47235,15,school,computer
70,ABBA,"Then, Lindsay and Joseph went to the store. Joseph gave a snack to Lindsay","Then, Joseph and Lindsay went to the store. Lindsay gave a snack to Joseph",Lindsay,Joseph,Joseph,Lindsay,61987,10954,10954,61987,15,store,snack
71,BABA,"When Rebecca and Nicholas got a basketball at the hospital, Rebecca decided to give it to Nicholas","When Nicholas and Rebecca got a basketball at the hospital, Nicholas decided to give it to Rebecca",Nicholas,Rebecca,Rebecca,Nicholas,34218,43057,43057,34218,17,hospital,basketball
72,BABA,"When Kristen and Matthew got a necklace at the house, Kristen decided to give it to Matthew","When Matthew and Kristen got a necklace at the house, Matthew decided to give it to Kristen",Matthew,Kristen,Kristen,Matthew,23739,76665,76665,23739,17,house,necklace
73,ABBA,"When Daniel and Samuel got a drink at the office, Samuel decided to give it to Daniel","When Samuel and Daniel got a drink at the office, Daniel decided to give it to Samuel",Daniel,Samuel,Samuel,Daniel,10754,19784,19784,10754,17,office,drink
74,BABA,"Then, Amber and Sara had a long argument, and afterwards Amber said to Sara","Then, Sara and Amber had a long argument, and afterwards Sara said to Amber",Sara,Amber,Amber,Sara,34315,47235,47235,34315,15,garden,computer
75,ABBA,"Then, Katherine and Kevin went to the garden. Kevin gave a drink to Katherine","Then, Kevin and Katherine went to the garden. Katherine gave a drink to Kevin",Katherine,Kevin,Kevin,Katherine,58448,19934,19934,58448,15,garden,drink
76,ABBA,"Then, Christine and Laura had a long argument, and afterwards Laura said to Christine","Then, Laura and Christine had a long argument, and afterwards Christine said to Laura",Christine,Laura,Laura,Christine,45698,24277,24277,45698,15,garden,drink
77,BABA,"Then, Melissa and Nicole were thinking about going to the house. Melissa wanted to give a ring to Nicole","Then, Nicole and Melissa were thinking about going to the house. Nicole wanted to give a ring to Melissa",Nicole,Melissa,Melissa,Nicole,42462,52521,52521,42462,20,house,ring
78,ABBA,"Then, Sara and Jesse were working at the school. Jesse decided to give a necklace to Sara","Then, Jesse and Sara were working at the school. Sara decided to give a necklace to Jesse",Sara,Jesse,Jesse,Sara,34315,46041,46041,34315,18,school,necklace
79,BABA,"After Jose and Daniel went to the office, Jose gave a kiss to Daniel","After Daniel and Jose went to the office, Daniel gave a kiss to Jose",Daniel,Jose,Jose,Daniel,10754,8289,8289,10754,14,office,kiss
80,BABA,"Then, Jamie and Kyle went to the house. Jamie gave a necklace to Kyle","Then, Kyle and Jamie went to the house. Kyle gave a necklace to Jamie",Kyle,Jamie,Jamie,Kyle,40358,40742,40742,40358,15,house,necklace
81,BABA,"After Christina and Lindsay went to the restaurant, Christina gave a basketball to Lindsay","After Lindsay and Christina went to the restaurant, Lindsay gave a basketball to Christina",Lindsay,Christina,Christina,Lindsay,61987,58025,58025,61987,14,restaurant,basketball
82,BABA,"After Amy and Jose went to the restaurant, Amy gave a computer to Jose","After Jose and Amy went to the restaurant, Jose gave a computer to Amy",Jose,Amy,Amy,Jose,8289,27161,27161,8289,14,restaurant,computer
83,BABA,"After Michael and Paul went to the hospital, Michael gave a basketball to Paul","After Paul and Michael went to the hospital, Paul gave a basketball to Michael",Paul,Michael,Michael,Paul,6369,7939,7939,6369,14,hospital,basketball
84,BABA,"After Erica and Katherine went to the office, Erica gave a snack to Katherine","After Katherine and Erica went to the office, Katherine gave a snack to Erica",Katherine,Erica,Erica,Katherine,58448,95692,95692,58448,14,office,snack
85,BABA,"Then, Alexander and Aaron were working at the station. Alexander decided to give a bone to Aaron","Then, Aaron and Alexander were working at the station. Aaron decided to give a bone to Alexander",Aaron,Alexander,Alexander,Aaron,32057,16188,16188,32057,18,station,bone
86,BABA,"Then, Timothy and James had a long argument, and afterwards Timothy said to James","Then, James and Timothy had a long argument, and afterwards James said to Timothy",James,Timothy,Timothy,James,6110,44708,44708,6110,15,office,kiss
87,ABBA,"Then, Allison and Adam were thinking about going to the hospital. Adam wanted to give a basketball to Allison","Then, Adam and Allison were thinking about going to the hospital. Allison wanted to give a basketball to Adam",Allison,Adam,Adam,Allison,64426,14876,14876,64426,20,hospital,basketball
88,BABA,"Then, Justin and Nicholas had a lot of fun at the store. Justin gave a basketball to Nicholas","Then, Nicholas and Justin had a lot of fun at the store. Nicholas gave a basketball to Justin",Nicholas,Justin,Justin,Nicholas,34218,27031,27031,34218,19,store,basketball
89,BABA,"Then, Samuel and Mary were working at the station. Samuel decided to give a drink to Mary","Then, Mary and Samuel were working at the station. Mary decided to give a drink to Samuel",Mary,Samuel,Samuel,Mary,7473,19784,19784,7473,18,station,drink
90,BABA,"Then, Nicole and Scott had a long argument, and afterwards Nicole said to Scott","Then, Scott and Nicole had a long argument, and afterwards Scott said to Nicole",Scott,Nicole,Nicole,Scott,12511,42462,42462,12511,15,house,snack
91,BABA,"After Justin and Megan went to the store, Justin gave a kiss to Megan","After Megan and Justin went to the store, Megan gave a kiss to Justin",Megan,Justin,Justin,Megan,58914,27031,27031,58914,14,store,kiss
92,BABA,"Then, Eric and Mark had a lot of fun at the station. Eric gave a ring to Mark","Then, Mark and Eric had a lot of fun at the station. Mark gave a ring to Eric",Mark,Eric,Eric,Mark,4082,19288,19288,4082,19,station,ring
93,ABBA,"Then, Megan and Ryan were working at the restaurant. Ryan decided to give a snack to Megan","Then, Ryan and Megan were working at the restaurant. Megan decided to give a snack to Ryan",Megan,Ryan,Ryan,Megan,58914,18894,18894,58914,18,restaurant,snack
94,BABA,"Then, Angela and Nathan had a long argument, and afterwards Angela said to Nathan","Then, Nathan and Angela had a long argument, and afterwards Nathan said to Angela",Nathan,Angela,Angela,Nathan,32743,43971,43971,32743,15,office,snack
95,BABA,"Then, Jamie and Courtney were thinking about going to the station. Jamie wanted to give a bone to Courtney","Then, Courtney and Jamie were thinking about going to the station. Courtney wanted to give a bone to Jamie",Courtney,Jamie,Jamie,Courtney,81161,40742,40742,81161,20,station,bone
96,BABA,"Then, Charles and Stephen went to the school. Charles gave a computer to Stephen","Then, Stephen and Charles went to the school. Stephen gave a computer to Charles",Stephen,Charles,Charles,Stephen,18653,8868,8868,18653,15,school,computer
97,BABA,"Then, Sean and Samantha had a lot of fun at the school. Sean gave a computer to Samantha","Then, Samantha and Sean had a lot of fun at the school. Samantha gave a computer to Sean",Samantha,Sean,Sean,Samantha,73605,34723,34723,73605,19,school,computer
98,BABA,"Then, Vanessa and David were working at the school. Vanessa decided to give a computer to David","Then, David and Vanessa were working at the school. David decided to give a computer to Vanessa",David,Vanessa,Vanessa,David,6046,68439,68439,6046,18,school,computer
99,ABBA,"Then, Laura and Dustin had a long argument, and afterwards Dustin said to Laura","Then, Dustin and Laura had a long argument, and afterwards Laura said to Dustin",Laura,Dustin,Dustin,Laura,24277,116288,116288,24277,15,restaurant,bone
100,BABA,"When Katie and Crystal got a kiss at the school, Katie decided to give it to Crystal","When Crystal and Katie got a kiss at the school, Crystal decided to give it to Katie",Crystal,Katie,Katie,Crystal,28166,46526,46526,28166,17,school,kiss
101,BABA,"After Amber and Jeremy went to the station, Amber gave a drink to Jeremy","After Jeremy and Amber went to the station, Jeremy gave a drink to Amber",Jeremy,Amber,Amber,Jeremy,42219,47235,47235,42219,14,station,drink
102,ABBA,"Then, Anthony and Benjamin had a lot of fun at the store. Benjamin gave a drink to Anthony","Then, Benjamin and Anthony had a lot of fun at the store. Anthony gave a drink to Benjamin",Anthony,Benjamin,Benjamin,Anthony,21504,27316,27316,21504,19,store,drink
103,BABA,"Then, Richard and Michael were working at the house. Richard decided to give a drink to Michael","Then, Michael and Richard were working at the house. Michael decided to give a drink to Richard",Michael,Richard,Richard,Michael,7939,9135,9135,7939,18,house,drink
104,ABBA,"Then, Cody and Alicia were working at the school. Alicia decided to give a snack to Cody","Then, Alicia and Cody were working at the school. Cody decided to give a snack to Alicia",Cody,Alicia,Alicia,Cody,67768,77804,77804,67768,18,school,snack
105,BABA,"When Emily and Steven got a drink at the store, Emily decided to give it to Steven","When Steven and Emily got a drink at the store, Steven decided to give it to Emily",Steven,Emily,Emily,Steven,23114,31325,31325,23114,17,store,drink
106,ABBA,"Then, Jose and Alexander had a long argument, and afterwards Alexander said to Jose","Then, Alexander and Jose had a long argument, and afterwards Jose said to Alexander",Jose,Alexander,Alexander,Jose,8289,16188,16188,8289,15,restaurant,snack
107,ABBA,"Then, Travis and Sara went to the house. Sara gave a ring to Travis","Then, Sara and Travis went to the house. Travis gave a ring to Sara",Travis,Sara,Sara,Travis,52664,34315,34315,52664,15,house,ring
108,ABBA,"After Bryan and Mark went to the station, Mark gave a bone to Bryan","After Mark and Bryan went to the station, Bryan gave a bone to Mark",Bryan,Mark,Mark,Bryan,39746,4082,4082,39746,14,station,bone
109,ABBA,"Then, Kevin and Amy had a lot of fun at the school. Amy gave a snack to Kevin","Then, Amy and Kevin had a lot of fun at the school. Kevin gave a snack to Amy",Kevin,Amy,Amy,Kevin,19934,27161,27161,19934,19,school,snack
110,ABBA,"Then, Brittany and Bradley had a long argument, and afterwards Bradley said to Brittany","Then, Bradley and Brittany had a long argument, and afterwards Brittany said to Bradley",Brittany,Bradley,Bradley,Brittany,92030,42915,42915,92030,15,hospital,drink
111,ABBA,"When James and Stephen got a necklace at the store, Stephen decided to give it to James","When Stephen and James got a necklace at the store, James decided to give it to Stephen",James,Stephen,Stephen,James,6110,18653,18653,6110,17,store,necklace
112,BABA,"When Allison and Jennifer got a basketball at the school, Allison decided to give it to Jennifer","When Jennifer and Allison got a basketball at the school, Jennifer decided to give it to Allison",Jennifer,Allison,Allison,Jennifer,30904,64426,64426,30904,17,school,basketball
113,ABBA,"Then, Jessica and Travis were thinking about going to the school. Travis wanted to give a bone to Jessica","Then, Travis and Jessica were thinking about going to the school. Jessica wanted to give a bone to Travis",Jessica,Travis,Travis,Jessica,36171,52664,52664,36171,20,school,bone
114,BABA,"Then, Andrew and Jose were working at the school. Andrew decided to give a snack to Jose","Then, Jose and Andrew were working at the school. Jose decided to give a snack to Andrew",Jose,Andrew,Andrew,Jose,8289,15970,15970,8289,18,school,snack
115,BABA,"Then, Samuel and Melissa went to the restaurant. Samuel gave a kiss to Melissa","Then, Melissa and Samuel went to the restaurant. Melissa gave a kiss to Samuel",Melissa,Samuel,Samuel,Melissa,52521,19784,19784,52521,15,restaurant,kiss
116,BABA,"Then, Rachel and William had a lot of fun at the store. Rachel gave a computer to William","Then, William and Rachel had a lot of fun at the store. William gave a computer to Rachel",William,Rachel,Rachel,William,7130,32758,32758,7130,19,store,computer
117,BABA,"Then, Amy and Alexander were thinking about going to the school. Amy wanted to give a kiss to Alexander","Then, Alexander and Amy were thinking about going to the school. Alexander wanted to give a kiss to Amy",Alexander,Amy,Amy,Alexander,16188,27161,27161,16188,20,school,kiss
118,BABA,"Then, Lisa and Katie were thinking about going to the garden. Lisa wanted to give a computer to Katie","Then, Katie and Lisa were thinking about going to the garden. Katie wanted to give a computer to Lisa",Katie,Lisa,Lisa,Katie,46526,25380,25380,46526,20,garden,computer
119,ABBA,"Then, Jesse and Gregory were thinking about going to the store. Gregory wanted to give a necklace to Jesse","Then, Gregory and Jesse were thinking about going to the store. Jesse wanted to give a necklace to Gregory",Jesse,Gregory,Gregory,Jesse,46041,39706,39706,46041,20,store,necklace
120,ABBA,"Then, Mark and Kristen were working at the garden. Kristen decided to give a necklace to Mark","Then, Kristen and Mark were working at the garden. Mark decided to give a necklace to Kristen",Mark,Kristen,Kristen,Mark,4082,76665,76665,4082,18,garden,necklace
121,ABBA,"Then, Benjamin and Sean had a lot of fun at the house. Sean gave a necklace to Benjamin","Then, Sean and Benjamin had a lot of fun at the house. Benjamin gave a necklace to Sean",Benjamin,Sean,Sean,Benjamin,27316,34723,34723,27316,19,house,necklace
